Iteration,Matrix multiplication,Add bias,transpose,Sigmoid,Softmax,Compute delta2,Compute derivative b,Compute derivative W,Compute delta1
1,39998240.90161395,37560.096577144635,1.5200000256299973e-05,162760.41090969174,14872685.76129533,24625.689513089477,8046407.616769105,419672139.2464684,406901.02727422933
2,445550471.7345325,79923.27188380978,1.2319999746978283e-05,69832.40186985118,15239563.668302039,26041.665429753928,9737318.624510823,437233151.77486646,406901.02727422933
3,441325436.6469818,82453.82485376477,1.3279999606311322e-05,181159.41626996882,14817804.583563382,25699.01429917207,8185278.774852307,400000010.1048502,403746.76238693215
4,380905880.9999799,71839.08137337431,1.3376000337302686e-05,186567.16990521358,15312202.75488159,25826.44592397733,9737318.624510823,421052650.2776352,406901.02727422933
5,443619995.8126803,62003.96874618156,1.292799971997738e-05,178571.43493863416,14736238.068257611,26106.933256773485,7016971.170034757,429890852.1898787,399616.3594190489
6,445550471.7345325,88276.83893257342,1.2191999703645706e-05,192901.23857461291,14763326.946968649,26505.512843058623,10205695.94337559,437233151.77486646,417780.75352775
7,454248016.9307342,84918.47637654789,1.0879999957978725e-05,166666.66521794267,15564438.860519547,27126.73515161529,10128768.748277903,427378950.0411146,460914.46641559526
8,399951181.9786167,97656.25246700444,1.5936000272631647e-05,192307.69178416778,14858927.3898984,27126.73515161529,10128768.748277903,433164115.2740148,421159.02748648886
9,449068002.3989727,93005.95311927235,1.228800043463707e-05,194099.37457496658,15534333.332432633,27103.207883124272,9832316.885339357,422093968.0937572,415558.4986201224
10,449068002.3989727,94410.87945184208,1.2480000033974648e-05,198412.69082179788,15039794.243981663,26870.16318364972,10403225.507662795,439108050.09972185,418900.8177318331
11,452641468.82498544,91642.22704554902,1.1807999573647976e-05,176553.67786514683,14872685.76129533,26962.89957124206,9916973.918815995,428451876.06006134,448994.25107355916
12,458725358.6465029,86565.09381833051,1.113600004464388e-05,195312.50493400887,15068011.709678087,26916.451500534346,10078125.254594859,429890852.1898787,459558.8253043426
13,447497822.57470196,97656.25246700444,1.228800043463707e-05,197160.88441491706,15429874.965248741,27126.73515161529,9880514.885004558,443290063.5641797,413359.79164121044
14,449857185.63741887,85149.86363229761,1.2256000190973282e-05,191131.50606365426,15225118.474272933,26085.140993720375,9880514.885004558,422093968.0937572,412269.1242688238
15,431650523.956527,92455.61786568703,1.2032000347971917e-05,182748.53057574265,15011682.26494169,26870.16318364972,9784587.522142224,439108050.09972185,374700.2371787682
16,448281537.5377751,96450.61928730646,1.228800043463707e-05,195312.50493400887,14776908.767765786,26349.07361473123,9904790.811828082,436487650.50789535,406901.02727422933
17,447106991.80181944,94696.9668694351,1.2128000147640705e-05,168010.74838855147,15564438.860519547,26709.40296548644,9690504.916903317,437606858.1865298,406901.02727422933
18,445163033.60019433,96749.23030276546,1.1008000001311302e-05,195312.50493400887,15096335.25688508,26962.89957124206,8978284.802816369,422442233.08632857,430440.7723018123
19,453042039.55030304,84688.34994131516,1.228800043463707e-05,173130.18763666102,15254036.298806405,27126.73515161529,9690504.916903317,433530895.46288794,372911.7042550635
20,463291841.7400645,85149.86363229761,1.2512000277638435e-05,183823.53012173704,15053889.75392397,27032.873029549755,9760895.846622674,444058957.9571081,413359.79164121044
21,445550471.7345325,96153.84589208389,1.2256000190973282e-05,195924.7566568623,15489392.777220584,26663.82343092851,9978341.800290952,442906591.7161432,456871.32643935666
22,449068002.3989727,97656.25246700444,1.228800043463707e-05,185459.93793025307,15459576.587052329,25869.205265942997,10484395.638013132,442906591.7161432,446428.5873465854
23,457087041.3630903,89285.71746931708,1.196799986064434e-05,180115.27700346956,15053889.75392397,27150.303301856024,10443652.857653089,440619621.16170067,432825.46909165254
24,444390175.25376165,110035.20784540864,1.228800043463707e-05,197784.81603385328,14858927.3898984,26573.12946264924,10457198.554789076,423490484.8148298,465029.7655963618
25,457495522.6077198,97656.25246700444,1.228800043463707e-05,189969.6035704473,15564438.860519547,27173.912440495318,10052992.581136,444444428.7240649,418900.8177318331
26,452241605.8271833,69754.46332894675,1.196799986064434e-05,194704.05012894538,14886469.6349662,27150.303301856024,10296934.537570257,428451876.06006134,415558.4986201224
27,460375462.4752683,97656.25246700444,1.228800043463707e-05,195312.50493400887,15139019.131721681,26986.183772950306,10349807.518397432,435744687.136939,409031.41537566035
28,450252841.3929866,94126.5071642323,1.1807999573647976e-05,195312.50493400887,14845194.450066166,27056.27829371214,10443652.857653089,436487650.50789535,424592.3818827394
29,461620851.98930067,97656.25246700444,1.6383999958634378e-05,195312.50493400887,15686035.19585343,27126.73515161529,9953703.731628478,442523782.7458602,415558.4986201224
30,454651437.4389621,97656.25246700444,1.228800043463707e-05,192307.69178416778,15415066.911325043,27103.207883124272,10349807.518397432,435744687.136939,479294.4660317687
31,444776268.69100535,94696.9668694351,1.2128000147640705e-05,191717.7864127075,15196310.08415495,27126.73515161529,9868421.139341233,444444428.7240649,415558.4986201224
32,452241605.8271833,88526.9095822339,1.228800043463707e-05,155086.8437330175,15053889.75392397,26393.579931257937,10296934.537570257,400939719.7521165,413359.79164121044
33,456272263.282059,92182.89328311906,1.2351999990642071e-05,190548.78361071,15297619.593076326,26962.89957124206,9856356.962963348,444444428.7240649,412269.1242688238
34,449068002.3989727,94984.80178522365,1.1071999557316304e-05,195312.50493400887,15686035.19585343,26939.65551501537,10103383.170371339,430613971.00445765,445156.7013270352
35,444390175.25376165,95565.75303182713,1.1872000060975551e-05,195312.50493400887,13943141.867930258,27079.72139010379,10078125.254594859,437606858.1865298,422297.303813239
36,462037431.95713896,97656.25246700444,1.1744000017642974e-05,195312.50493400887,14817804.583563382,26986.183772950306,10296934.537570257,435004248.724451,416666.6630448567
37,458725358.6465029,97656.25246700444,1.1711999773979188e-05,174581.01035169623,14858927.3898984,27009.508224234633,10296934.537570257,429890852.1898787,410104.9968451753
38,447497822.57470196,95274.391805355,1.119999960064888e-05,195312.50493400887,15655457.896742785,26801.02844846935,10403225.507662795,433530895.46288794,442634.54791116953
39,459136774.6599237,97656.25246700444,1.1744000017642974e-05,199044.58317476072,15579533.666214142,27009.508224234633,9892638.30879815,427735994.4789768,452898.540674922
40,451842448.68293476,85149.86363229761,1.113600004464388e-05,195312.50493400887,15196310.08415495,27126.73515161529,9953703.731628478,442141634.9360178,434027.7711979767
41,458314679.2832943,97656.25246700444,1.228800043463707e-05,175070.0222648372,15068011.709678087,26847.0786755537,9690504.916903317,426666646.40108836,473484.83434717555
42,446327374.7220419,88526.9095822339,1.228800043463707e-05,194099.37457496658,15489392.777220584,26986.183772950306,10296934.537570257,424896273.08697015,458211.13522774517
43,444776268.69100535,94696.9668694351,1.1807999573647976e-05,195312.50493400887,14927973.365560323,26595.745064510436,10498046.503675116,438356147.05806136,459558.8253043426
44,447106991.80181944,97656.25246700444,1.1711999773979188e-05,195312.50493400887,15039794.243981663,26528.013449626113,10192793.575110728,437233151.77486646,463649.84482563264
45,444390175.25376165,95274.391805355,1.110399980098009e-05,195312.50493400887,15594659.54159717,27126.73515161529,10498046.503675116,436487650.50789535,428082.17486138805
46,464131905.8604295,97656.25246700444,1.1776000261306763e-05,192901.23857461291,14804147.516775342,27009.508224234633,10376448.153154023,437606858.1865298,446428.5873465854
47,445938584.8533324,97352.02506447269,1.1648000217974186e-05,176553.67786514683,14955772.409569468,27009.508224234633,10336538.433399018,440240753.60091704,407963.44011829986
48,453042039.55030304,89031.34026540704,1.228800043463707e-05,195312.50493400887,15686035.19585343,27126.73515161529,10430142.207865503,433530895.46288794,438904.48932302283
49,458314679.2832943,97352.02506447269,1.113600004464388e-05,195312.50493400887,15686035.19585343,27126.73515161529,9844322.247557677,427378950.0411146,448994.25107355916
50,449857185.63741887,96749.23030276546,1.228800043463707e-05,194704.05012894538,15489392.777220584,27197.56267455332,10336538.433399018,395672346.73629993,424592.3818827394
51,447497822.57470196,98270.43846201085,1.228800043463707e-05,195312.50493400887,15670731.630428942,27173.912440495318,10310102.073011462,439484969.7434087,470632.53582116147
52,446716843.1122712,94126.5071642323,1.104000024497509e-05,195312.50493400887,15579533.666214142,27244.98685887205,10323303.328390028,444444428.7240649,426912.5765446659
53,460789844.9991235,86805.55423959534,1.1231999844312668e-05,195312.50493400887,14983675.18214328,26847.0786755537,10498046.503675116,437606858.1865298,412269.1242688238
54,447106991.80181944,94984.80178522365,1.2032000347971917e-05,196540.8769240217,15110536.998171085,26326.875404805607,10205695.94337559,427022501.1781346,465029.7655963618
55,444390175.25376165,96749.23030276546,1.104000024497509e-05,195312.50493400887,15459576.587052329,27197.56267455332,10457198.554789076,437233151.77486646,459558.8253043426
56,444390175.25376165,98270.43846201085,1.0944000445306302e-05,195312.50493400887,15640213.907651933,27126.73515161529,10065543.2294352,442523782.7458602,410104.9968451753
57,451046244.4922733,111607.13987622764,1.2191999703645706e-05,186567.16990521358,15519324.19992302,26986.183772950306,10296934.537570257,430976443.44753206,411184.1972945539
58,458725358.6465029,97656.25246700444,1.1872000060975551e-05,186567.16990521358,15444711.496415973,27126.73515161529,9868421.139341233,429170157.93294793,456871.32643935666
59,445550471.7345325,95274.391805355,1.1008000001311302e-05,195312.50493400887,15686035.19585343,27126.73515161529,10498046.503675116,439862537.02027184,415558.4986201224
60,464975022.0080998,94410.87945184208,1.2319999746978283e-05,195312.50493400887,15609814.816377746,27126.73515161529,9978341.800290952,440240753.60091704,424592.3818827394
61,450252841.3929866,90057.63850173478,1.228800043463707e-05,195312.50493400887,15429874.965248741,24664.56224760409,9832316.885339357,444444428.7240649,414456.2450916234
